Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;180;0;0;0;2;0;0;0;0;0;0;0;0;0;33;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java;196;202;2;0;1;196;195;98;196;195;98;0;0;0;10;0.04950495049504951;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;473;501;12;0;4;142;59;17;2;59;0;12;12;12;62;0.12375249500998003;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java;40;40;1;0;1;40;40;40;40;40;40;0;0;0;0;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;255;126;4;0;3;51;20;12;51;20;12;12;12;12;62;0.49206349206349204;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java;379;400;4;0;3;379;211;126;379;211;94;0;0;0;10;0.025;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java;509;561;7;0;3;525;378;131;509;378;72;12;12;12;13;0.023172905525846704;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java;32;32;1;0;1;32;32;32;32;32;32;0;0;0;0;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java;66;77;2;0;1;69;69;69;66;69;33;0;0;0;4;0.05194805194805195;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java;187;214;4;0;2;189;183;63;187;183;46;12;12;12;8;0.037383177570093455;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java;576;589;3;0;2;576;550;192;576;550;192;0;0;0;3;0.0050933786078098476;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java;158;161;3;0;1;158;157;79;158;157;52;0;0;0;12;0.07453416149068323;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;46;670;8;0;4;37;21;9;0;21;0;0;0;0;57;0.08507462686567165;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java;27;132;2;0;1;79;79;79;27;79;13;0;0;0;6;0.045454545454545456;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java;788;841;7;0;3;788;712;157;788;712;112;0;0;0;11;0.013079667063020214;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java;60;60;1;0;1;60;60;60;60;60;60;0;0;0;0;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;62;197;5;0;3;36;30;18;0;30;0;0;0;0;54;0.27411167512690354;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java;88;143;2;0;1;113;113;113;88;113;44;0;0;0;4;0.027972027972027972;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java;52;56;2;0;1;53;53;53;52;53;26;0;0;0;4;0.07142857142857142;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;163;9;2;0;3;6;4;3;6;4;3;0;0;0;60;6.666666666666667;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java;91;91;1;0;1;91;91;91;91;91;91;0;0;0;0;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;147;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;NO
BOOKKEEPER;2;;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0.0;NO
BOOKKEEPER;2;;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;139;12;1;0;3;2;2;2;2;2;2;0;0;0;60;5.0;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;282;11;1;0;3;11;11;11;11;11;11;0;0;0;52;4.7272727272727275;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;216;19;3;0;3;11;7;5;11;7;3;0;0;0;61;3.210526315789474;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;582;192;6;0;4;75;68;25;34;68;5;0;0;0;61;0.3177083333333333;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;800;91;4;0;3;72;62;24;72;62;18;0;0;0;31;0.34065934065934067;NO
BOOKKEEPER;2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;55;9;1;0;2;5;5;5;5;5;5;0;0;0;43;4.777777777777778;NO
